_type,_id,_revision,_page.next,kodas,vietovardis_pilnas_nekirciuotas,vietovardis,linksniai,vietovardzio_rusis,vietovardis_vertimas,kirciuote,adm_teritorinis_priklausymas,statusas,kitas_statusas,kiti_variantai,papildoma_informacija,susije_vietovardziai
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,a37423a6-2d3a-43e9-902d-dc27fd4e6b00,79ca6ad8-1621-4538-a555-0ab6dae9df3a,,1602420,Juodeikiai,Juodei̇̃kiai,"Juodei̇̃kių, Juodei̇̃kiams, į Juodeikiùs, ties Juodei̇̃kiais, Juodei̇̃kiuose",kaimas,,2,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,4c76faf7-7266-4e82-84d3-989ae930c914,389c58b5-921c-4089-9bc1-03a78baac01b,,1602430,Juodeikiai,Juodei̇̃kiai,"Juodei̇̃kių, Juodei̇̃kiams, į Juodeikiùs, ties Juodei̇̃kiais, Juodei̇̃kiuose",kaimas,,2,"Mažeikių rajonas, Telšiųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,56178de6-0721-40ba-8c4f-f3292123d19a,65984617-36db-4f8d-8541-be018bbdb0d2,,1602440,Juodeikiai,Juodei̇̃kiai,"Juodei̇̃kių, Juodei̇̃kiams, į Juodeikiùs, ties Juodei̇̃kiais, Juodei̇̃kiuose",kaimas,,2,"Plungės rajonas, Telšiųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,614be654-9a3e-46d3-ac58-8a9e6c6da3ee,d06d8201-0c3e-413d-9c7c-6578b221045e,,1602450,Juodeišiai,Juodei̇̃šiai,"Juodei̇̃šių, Juodei̇̃šiams, į Juodeišiùs, ties Juodei̇̃šiais, Juodei̇̃šiuose",kaimas,,2,"Biržų rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,35b1df8b-f2e4-4a09-b5a1-23b2d690c246,43512c4b-a3f4-4a9c-924b-3289d5cea67b,,1602460,Juodelėnai,Júodelėnai,,kaimas,baltarusiškai Jadlovičy,1,"Vitebsko sritis, Breslaujos rajonas, Baltarusija",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,becec577-27ad-409f-8063-df7fe829ec9c,311b8479-140b-44bc-a8cf-5d38a0e2598a,,1602470,Juodeliai,Juodẽliai,"Juodẽlių, Juodẽliams, į Juodeliùs, ties Juodẽliais, Juodẽliuose",kaimas,,2,"Kalvarijos savivaldybės teritorija, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,aeb14759-ed95-48b3-8eea-4d03342b5153,b41946b7-c288-4bbd-a130-6b9a3319e4cb,,1602480,Juodeliškė,Juodẽliškė,,kaimas,lenkiškai Jodeliszki,1,"Seinų apskritis, Lenkija",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,ea385908-3ebc-4912-a585-7d2e04dca4fb,00ea82a2-914b-4e52-9a70-667064928253,,1602490,Juodelių pelkė (durpynas),Juodẽlių pélkė (durpýnas),,pelkė,,,"Kalvarijos savivaldybės teritorija, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,8e4a7887-ef07-4bf1-bebe-26340eb474b9,196ea1a3-bdce-424f-9167-f02e442df04d,,1602500,Juodenėnai,Juodenė́nai,,kaimas,,1,"Molėtų rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,f1faddaa-5a92-4875-8dd0-a930cb66a84a,fc9ad354-062f-498b-91a1-8da5e7101e4f,,1602510,Juodės pelkė (durpynas),Júodės pélkė (durpýnas),,pelkė,,,"Telšių rajonas, Telšiųapskritis, Lietuva",vienintelis,,,,
