_type,_id,_revision,_page.next,kodas,vietovardis_pilnas_nekirciuotas,vietovardis,linksniai,vietovardzio_rusis,vietovardis_vertimas,kirciuote,adm_teritorinis_priklausymas,statusas,kitas_statusas,kiti_variantai,papildoma_informacija,susije_vietovardziai
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,cf57925d-ee23-4943-8245-a6d007f2680f,d6c1238c-dc29-4d71-8262-f88ade4914de,,2206030,Pašalpos kalnas,Pãšalpos kálnas,,piliakalnis,,,"Akmenės rajonas, Šiauliųapskritis, Lietuva",pagrindinis,,Papi̇̀lės pi̇̀liakalnis - šalutinis,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,ef9b0d55-16fb-454b-8eff-0b65bf7e55a2,f7c23b34-4871-46ac-be82-8d64a4bd368d,,2206050,Pašaltuonio miškas,Pãšaltuonio mi̇̀škas,,miškas,,,"Jurbarko rajonas, Tauragėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,5bd65d00-1e29-423e-9258-a3a72a3bdc15,c6d9d19f-6085-4f18-bb60-5a15c12a7e7b,,2206060,Pašaltuonys,Pašaltuonỹs,"Pãšaltuonio, Pãšaltuoniui, į Pãšaltuonį, ties Pãšaltuoniu, Pašaltuonyjè",kaimas,,(34b),"Jurbarko rajonas, Tauragėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,c6700f40-b0b3-4d13-8dad-1bbd0872e635,4c989417-25ae-47ab-9583-1866b896189a,,2206070,Pašaltuonys,Pašaltuonỹs,"Pãšaltuonio, Pãšaltuoniui, į Pãšaltuonį, ties Pãšaltuoniu, Pašaltuonyjè",kaimas,,(34b),"Raseinių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,a8e9e86f-1011-4bdd-9708-ed8074b7f260,24754f08-3173-4982-b348-5cb772b89efa,,2206080,Pašatrija,Pãšatrija,,kaimas,,1,"Telšių rajonas, Telšiųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,3a22bca6-501e-4741-b31c-4619954f6226,0b41aad8-0b12-435a-a43c-6f71b6d35fd8,,2206090,Pašeikis,Pãšeikis,,kaimas,,1,"Rietavo savivaldybės teritorija, Telšiųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,df6dfdce-7e64-41aa-a824-d1bb660536ad,64493445-cca1-4ec5-97fd-2c63b02ee4ea,,2206100,Pašeimeniai,Pašeimeniai̇̃,"Pašeimenių̃, Pašeimeniáms, į Pãšeimenius, ties Pašeimeniai̇̃s, Pašeimeniuosè",kaimas,,(34b),"Vilkaviškio rajonas, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,e8040360-861a-40cd-a22c-c3ff03311a7c,8b7d1405-250a-4cbf-99b8-b1cf9509f4ad,,2206110,Pašekščių miškas,Pašẽkščių mi̇̀škas,,miškas,,,"Molėtų rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,8a2258d1-48af-4274-82ec-a6ab5fc44560,186dec0d-d352-430b-8be5-0291375e8344,,2206120,Pašekščių pilkapynas,Pašẽkščių pilkapýnas,,pilkapynas,,,"Molėtų rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,5a5981b5-6914-4058-9545-d47fd300e253,4a384966-ff7b-45a0-a32c-f438db77c89d,,2206130,Pašekštis,Pašẽkštis,"Pašẽkščio, Pašẽkščiui, į Pašẽkštį, ties Pašekščiù, Pašẽkštyje",kaimas,,2,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,00486b55-c7f5-4df7-b712-cbed12fe8f4a,12a731c8-567f-45e3-87b1-e0afdd771760,,2206140,Pašepetis,Pašẽpetis,,kaimas,,1,"Kupiškio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,6c57c19a-271e-4724-840b-1a5d7f7a1647,3509204a-7d05-4298-b48d-5e57e47dd426,,2206150,Pašerkšnė,Pãšerkšnė,,kaimas,,1,"Mažeikių rajonas, Telšiųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,36737565-287a-4aa2-9f8b-1db34c1e1c8e,704ab113-beeb-4d39-96ac-f49ecd66b4de,,2206160,Pašeškinės pelkė (durpynas),Pašeški̇̀nės pélkė (durpýnas),,pelkė,,,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,35f3d279-aea7-456c-81be-4fe634907fe1,c775ea04-a957-41bb-809e-d58e68e8e869,,2206170,Pašešuvys,Pašešuvỹs,"Pãšešuvio, Pãšešuviui, į Pãšešuvį, ties Pãšešuviu, Pašešuvyjè",kaimas,,(34b),"Raseinių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,efa0ddff-b01e-48cd-a611-b1c2bf984af2,6ee71a54-8735-4c2b-be89-9eaa7c7a18b6,,2206180,Pašiaušė,Pašiáušė,,kaimas,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,64f91636-b6c8-4141-b2ea-f2114d699b79,fc187503-4664-468a-a27f-c3b0e9e8c0f0,,2206190,Pašilaičiai,Pašiláičiai,,miesto dalis,,1,"Vilniaus miestas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,48cd0ea4-9910-4298-8a07-93a583f24f92,5e20249f-ffb9-432c-a7d2-62e8a6eb2b5c,,2206200,Pašilė,Pãšilė,,miestelis,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,03b0e89d-59eb-404d-a2b9-0e3d35852274,9fb853a4-e2a9-4337-8ec8-ea2a1013402d,,2206210,Pašilė,Pãšilė,,kaimas,,1,"Skuodo rajonas, Klaipėdosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,6f4ff4c2-9ce7-4c4a-a7d2-073ecc8f3132,38324568-0477-4775-bd3d-fd3d7bedcbed,,2206220,Pašilė,Pašilė̃,"Pašilė̃s, Pãšilei, į Pãšilę, ties Pãšile, Pašilėjè",miesto dalis,,(3b),"Ukmergės rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,545a6775-5c05-4521-81fd-bcd4a846133d,dae4ba02-effb-4d5d-a76d-7177476d0b5d,,2206230,Pašilė,Pašilė̃,"Pašilė̃s, Pãšilei, į Pãšilę, ties Pãšile, Pašilėjè",kaimas,,(3b),"Ignalinos rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,4c6dfc79-5ebc-46e9-b96a-5a5aac20752e,cd8a77da-58a2-4722-a80c-b22ece0c9dea,,2206240,Pašilė,Pašilė̃,"Pašilė̃s, Pãšilei, į Pãšilę, ties Pãšile, Pašilėjè",kaimas,,(3b),"Molėtų rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,5fd36705-ee8f-4359-a248-8303be849e8e,c69f6386-6d6f-4433-96c6-04eb31edc339,,2206250,Pašilė,Pašilė̃,"Pašilė̃s, Pãšilei, į Pãšilę, ties Pãšile, Pašilėjè",kaimas,,(3b),"Pasvalio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,e723c700-e62a-4e27-9f8a-c01b11b8609c,bf0b685e-6968-4101-89e3-3f307fd0870c,,2206260,Pašilė,Pašilė̃,"Pašilė̃s, Pãšilei, į Pãšilę, ties Pãšile, Pašilėjè",kaimas,,(3b),"Zarasų rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,27acc9fd-4e65-4570-9f31-af41f5cab39a,a6fe5ee8-c53f-4b4f-9a21-7df43a8fcbd1,,2206270,Pašilėnai,Pãšilėnai,,kaimas,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,99087ab2-9983-428a-b7ec-eaeb546120af,5b8b1a08-47fc-4bd4-a0a3-a7056f70ae46,,2206280,Pašilės miškas,Pãšilės mi̇̀škas,,miškas,,,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,4d37e327-6bfd-4799-9871-d802de350a2a,2b8e7a32-b7e1-441e-a44b-cf7a20c75bb4,,2206290,Pašilės pilkapynas,Pašilė̃s pilkapýnas,,pilkapynas,,,"Ukmergės rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,adad6256-7881-4b96-b8f6-cc371dd1197c,6ac7cc93-5a1d-4319-b299-975225dbc34e,,2206300,Pašiliai,Pašiliai̇̃,"Pašilių̃, Pašiliáms, į Pãšilius, ties Pašiliai̇̃s, Pašiliuosè",kaimas,,(3b),"Anykščių rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,9a363de9-9830-47eb-be3c-4196f5eb4937,1f272392-1244-452e-860d-2cc088f77584,,2206310,Pašiliai,Pašiliai̇̃,"Pašilių̃, Pašiliáms, į Pãšilius, ties Pašiliai̇̃s, Pašiliuosè",kaimas,,(3b),"Jonavos rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,2e46dccd-bf79-40fc-875e-add923c5cf58,91fa2058-d804-45e2-bb10-45e9261fbc45,,2206320,Pašiliškiai,Pãšiliškiai,,kaimas,,1,"Šilutės rajonas, Klaipėdosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,f08e2dde-caa9-4ac4-821a-83d76490cd0f,a4896595-1fa6-42ca-a9e1-f0067ea2b7f8,,2206330,Pašilių kalnas,Pašilių̃ kálnas,,piliakalnis,,,"Jurbarko rajonas, Tauragėsapskritis, Lietuva",šalutinis,,Bajõrkalnis - pagrindinis,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,9794eac9-d938-43aa-be12-6b107cddd43a,2d6ed006-0537-4160-a97e-498fdda37a0a,,2206340,Pašilių miškas,Pašilių̃ mi̇̀škas,,miškas,,,"Kėdainių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,5a711d6c-8064-4477-9db0-78a022f3998a,c4b514da-2c1f-4f59-bbb1-8ad640ac29cb,,2206350,Pašilių miškas,Pašilių̃ mi̇̀škas,,miškas,,,"Panevėžio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,d9b71e67-2027-4bb5-b09d-c7e39d728b9c,2e083ea3-8ca5-46c1-8ec6-a1b144c32aea,,2206360,Pašilių pelkė (durpynas),Pašilių̃ pélkė (durpýnas),,pelkė,,,"Panevėžio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,cf5c324b-efee-4357-98fe-bcefd4ccf0b4,dfb3ac4f-0342-4508-a034-2d24c3d6b84f,,2206370,Pašilupiai,Pašilùpiai,"Pašilùpių, Pašilùpiams, į Pašilupiùs, ties Pašilùpiais, Pašilùpiuose",kaimas,,2,"Kazlų Rūdos savivaldybės teritorija, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,4383bbdb-fce7-453a-bd43-196869c7d183,580f347a-08a1-4e68-9107-bbe87fe12d8e,,2206380,Paširvintis,Pãširvintis,,kaimas,,1,"Širvintų rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,842e357f-4c97-40d6-8e29-7bf04b6203b0,f045ce1f-7123-4af3-a5d3-36ebd8bf3d35,,2206390,Pašyšiai,Pãšyšiai,,kaimas,,1,"Šilutės rajonas, Klaipėdosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,34989eaa-eb88-489a-be9c-c087d1e85ca6,61ed94c0-cbc7-45b2-88b5-81ef0e438915,,2206400,Paškonys,Paškónys,"Paškonių̃, Paškoni̇̀ms, į Paškónis, ties Paškonimi̇̀s, Paškonysè",kaimas,,3,"Molėtų rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,0c6f8aec-7d26-4996-a83c-3950bf4ad352,c4e00472-0a7c-4f2b-a5ac-2a31b328a843,,2206410,Paškonių pelkė (durpynas),Paškonių̃ pélkė (durpýnas),,pelkė,,,"Švenčionių rajonas, Vilniausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,c1e433a3-79fd-4644-860b-211fa6cff3f3,01734f90-a8d8-4593-ba9c-079e69dad0d2,,2206420,Paškuvėnai,Pãškuvėnai,,kaimas,,1,"Telšių rajonas, Telšiųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,45e713d0-4582-41ae-ab1f-722a6c48e3af,1b45b86e-ed93-41ea-999a-d41311791da0,,2206430,Pašlavančio piliakalnis,Pãšlavančio pi̇̀liakalnis,,piliakalnis,,,"Prienų rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,3e87e73a-0425-4416-b6e7-d7aed606246c,01d180f1-513c-48b4-9c4a-0da230574d71,,2206440,Pašlavantys,Pašlavantỹs,"Pãšlavančio, Pãšlavančiui, į Pãšlavantį, ties Pãšlavančiu, Pašlavantyjè",kaimas,,(34b),"Prienų rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,094140f5-a362-493e-8454-3f3977b70d3d,32ddb5ea-8424-46b8-9564-15aeb7b2584c,,2206450,Pašlūžmis,Pãšlūžmis,,kaimas,,1,"Klaipėdos rajonas, Klaipėdosapskritis, Lietuva",vienintelis,,,"<p>Knyginiame žodyno variante (p. 276) buvo korektūros klaida. Turi būti ne Pãšlūmžis, o Pãšlūžmis. (2007-06-10)</p>",
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,62afa326-3a6a-4fdb-9e92-331a53f7465e,8f497254-d197-4fd5-b946-3be5f768c452,,2206460,Pašoniai,Pašoniai̇̃,"Pašonių̃, Pašoniáms, į Pãšonius, ties Pašoniai̇̃s, Pašoniuosè",kaimas,,(3b),"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,dc9770cb-b71b-489c-81a3-3af3687af6a2,0b43c768-f6f0-4ce5-ade6-2ce7506c3702,,2206470,Paštys,Paštỹs,"Pãščio, Pãščiui, į Pãštį, ties Paščiù, Paštyjè",ežeras,,4,"Molėtų rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,eb9e54b1-32f3-45d5-98c4-f8e7b1ba6139,2482aeb9-3c80-4d80-ac59-45fc862a5f0e,,2206480,Paštys,Paštỹs,"Pãščio, Pãščiui, į Pãštį, ties Paščiù, Paštyjè",ežeras,,4,"Utenos rajonas, Utenosapskritis, Lietuva",vienintelis,,,tarp Dusetų ir Užpalių,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,24e9c9d8-d678-4eda-8708-10c382a5de55,88dd62e4-f321-42a1-9f2a-2551bbf0abf2,,2206490,Paštys,Paštỹs,"Pãščio, Pãščiui, į Pãštį, ties Paščiù, Paštyjè",ežeras,,4,"Utenos rajonas, Utenosapskritis, Lietuva",vienintelis,,,netoli Daugai̇̃lių,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,d91cfa30-22f7-421d-8669-a67d228374cd,d9716ca0-cd83-4db9-b0eb-744d65a1f045,,2206500,Paštuva,Paštuvà,"Paštuvõs, Pãštuvai, į Pãštuvą, ties Pãštuva, Paštuvojè",kaimas,,(3b),"Kauno rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,d6b9e0c1-b5a8-4b06-bdc5-a542c3ab4e5b,57893981-413d-4e0c-8d23-c633f4f6d949,,2206510,Pašuliai,Pašuliai̇̃,"Pašulių̃, Pašuliáms, į Pãšulius, ties Pašuliai̇̃s, Pašuliuosè",kaimas,,(3b),"Kaišiadorių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,85f5cac6-d802-4dd6-a3f4-1376c5a7c45e,1153a2d4-7612-44ac-ba24-392bf78024d8,,2206520,Pašulniškių pelkė (durpynas),Pašùlniškių pélkė (durpýnas),,pelkė,,,"Molėtų rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,4811c7d6-788e-47de-be5c-6ac555f0c614,277a5dea-a1c6-4a3d-9cbb-7167ce65be68,,2206530,Pašusčiai,Pãšusčiai,,kaimas,,1,"Šilutės rajonas, Klaipėdosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,9ea2c7e8-a10e-44b3-be07-41d9a0ca906f,653d9ca2-3826-4b70-a266-5298a1a89be0,,2206540,Pašušvio kapinynas,Pãšušvio kapinýnas,,"kapinės, kapinynas",,,"Kėdainių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,ae321e5d-079b-44ca-af52-5113eefa9813,a341d40a-ebf2-4d1c-8041-7740f43f69ea,,2206550,Pašušvio miškas,Pãšušvio mi̇̀škas,,miškas,,,"Kėdainių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,fd14608e-d145-447d-a535-8d9ad62f20b5,0ad5bd05-6b0a-4f80-ba8c-af0fdfc37387,,2206560,Pašušvys,Pašušvỹs,"Pãšušvio, Pãšušviui, į Pãšušvį, ties Pãšušviu, Pašušvyjè",miestelis,,(3b),"Radviliškio rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,3df41f4c-f049-4335-94ba-febee95d1628,dfe1c6c3-b18c-48da-953d-a8f8ce4f3938,,2206570,Pašušvys,Pašušvỹs,"Pãšušvio, Pãšušviui, į Pãšušvį, ties Pãšušviu, Pašušvyjè",kaimas,,(3b),"Kėdainių rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,57a27f4b-f2a3-4bd2-8c95-c0183475c206,2a5dfe6b-a305-4083-86ba-72a6ae4fb7d0,,2206580,Pašvenčio miškas,Pãšvenčio mi̇̀škas,,miškas,,,"Jurbarko rajonas, Tauragėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,cd394d80-cbda-47de-8229-8297896746fc,d59d3201-6de6-49f9-9112-9e5e9225d15d,,2206590,Pašventys,Pašventỹs,"Pãšvenčio, Pãšvenčiui, į Pãšventį, ties Pãšvenčiu, Pašventyjè",kaimas,,(3b),"Jurbarko rajonas, Tauragėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,69d855df-2b6c-47d2-ad4f-56f79fc3b1af,ef21e5b8-1a3b-4863-aca8-e640a534ef9e,,2206600,Pašventupė,Pãšventupė,,kaimas,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,d888ea04-7df4-4e2b-8398-538dc8a8ba8b,dae8a379-28a6-4b6a-acef-d623efd39d78,,2206610,Pašventupio piliakalniai,Pãšventupio pi̇̀liakalniai,,piliakalnis,,,"Prienų rajonas, Kaunoapskritis, Lietuva",vienintelis,,,du piliakalniai greta,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,7616762e-e3e3-4169-8fb5-4e81aa352609,1b778c78-6514-4404-a131-035974152246,,2206620,Pašventupys,Pašventupỹs,"Pãšventupio, Pãšventupiui, į Pãšventupį, ties Pãšventupiu, Pašventupyjè",kaimas,,(34b),"Prienų rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,cecc3c96-2948-4d09-881f-89f0feefd70b,674ac31c-46b3-48e6-be41-2618b9b1e3b5,,2206630,Pašvinė,Pãšvinė,,kaimas,,1,"Šiaulių rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,e76f5599-d8c6-4a49-9a59-160b1e12ebcc,d8981161-73c9-4de5-b995-e14542d8bb73,,2206640,Pašvinys,Pašvinỹs,"Pãšvinio, Pãšviniui, į Pãšvinį, ties Pãšviniu, Pašvinyjè",ežeras,,(3b),"Šiaulių rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,25fa932a-deef-4964-bb57-75d5da3e40b2,14f9ae5c-e19b-4936-863b-281488bda276,,2206650,Pašvitinys,Pašvitinỹs,"Pãšvitinio, Pãšvitiniui, į Pãšvitinį, ties Pãšvitiniu, Pašvitinyjè",miestelis,,(34b),"Pakruojo rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,5109b7f5-b36d-4adc-9cbf-311f8c091db6,b6c3e93d-e8a4-410e-aede-117cbc13def9,,2206660,Pašvoginė,Pašvõginė,,kaimas,,1,"Ignalinos rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,56d63b03-e20d-4346-9bed-0f9fe2ec7a04,6e503a23-f336-49d4-8244-4cf8efc3c7b9,,2206670,Patamošupiai,Patamõšupiai,,kaimas,,1,"Kazlų Rūdos savivaldybės teritorija, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,9f3f1330-1959-4f8f-8499-f5adc31ff921,bac3edb7-b34c-4147-89f4-815056f8171b,,2206680,Patamulšėlis,Patamulšė̃lis,"Patamulšė̃lio, Patamulšė̃liui, į Patamulšė̃lį, ties Patamulšėliù, Patamulšė̃lyje",kaimas,,2,"Kauno rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,bd64c62c-28da-4484-95eb-c024d9acede3,4dad1c1f-d57e-4ccb-9d73-79e61aa5f47f,,2206690,Patamulšys,Patamulšỹs,"Pãtamulšio, Pãtamulšiui, į Pãtamulšį, ties Pãtamulšiu, Patamulšyjè",kaimas,,(34b),"Prienų rajonas, Kaunoapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,9cdec3ae-ac45-4ffe-95d6-4027ccb4a4ca,b465e37b-244a-43c0-b4be-642e5703d0b5,,2206700,Patašiai,Patašiai̇̃,"Patašių̃, Patašiáms, į Patašiùs, ties Patašiai̇̃s, Patašiuosè",kaimas,,4,"Šakių rajonas, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,73d497ce-6368-4c12-8a27-8559a1fd3d2a,a5f1fc70-adda-41f4-93d5-75fe01eb270b,,2206710,Patašinė,Patãšinė,,kaimas,,1,"Kalvarijos savivaldybės teritorija, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,da22d510-f053-4b0c-b45e-6a44511dc7af,cceb8421-2d68-422a-a781-b07472be5634,,2206720,Patašinė,Pataši̇̀nė,"Pataši̇̀nės, Pataši̇̀nei, į Pataši̇̀nę, ties Patašinè, Pataši̇̀nėje",kaimas,,2,"Šakių rajonas, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,50115f40-356c-4660-8aa8-273502863970,95b3792c-2ed7-48cb-9c63-a8b5771e69ce,,2206730,Patatuliečiai,Patatuliẽčiai,"Patatuliẽčių, Patatuliẽčiams, į Patatuliečiùs, ties Patatuliẽčiais, Patatuliẽčiuose",kaimas,,2,"Biržų rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,efcbd9da-32e5-4e45-b936-e294f3010683,365f9668-293b-46a8-b807-0ed6cc3b7f9c,,2206740,Pataušis,Patáušis,,kaimas,,1,"Radviliškio rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,5c607fe6-6fa9-4643-bc5c-25a0430cdc56,b0d0119f-c161-4769-9d74-aa066d6b46de,,2206750,Patekla,Pateklà,"Pateklõs, Pãteklai, į Pãteklą, ties Pãtekla, Pateklojè",upė,,(3b),"Telšių rajonas, Telšiųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,4ba2412c-329c-465b-afb4-7bc16dd5c231,c25f9956-f6d5-4422-af40-63901beb236b,,2206760,Pateklėnai,Pateklė́nai,,kaimas,,1,"Telšių rajonas, Telšiųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,7564ea43-b214-43ef-b571-75b44664cbcf,9788250d-a926-4c71-a0f9-0571e90954d6,,2206770,Paterai,Pãterai,,kaimas,,1,"Lazdijų rajonas, Alytausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,b5069e10-dfa1-4032-ae89-42ca029d1a66,3f2ad347-1f12-4bca-8cb1-13e335a15ba7,,2206780,Patilčiai,Pati̇̀lčiai,,kaimas,,1,"Marijampolės savivaldybės teritorija, Marijampolėsapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,954a7f67-46bc-4e27-9be7-8387f953cc2a,044a2854-b0d5-4cd9-b149-765880969ae3,,2206790,Patilčiai,Pati̇̀lčiai,,kaimas,,1,"Vilkaviškio rajonas, Marijampolėsapskritis, Lietuva",vienintelis,,,,
